gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
14.688695,56.83687447,25.08657208,7.26088718,2.2992373,0.04285437,3550.6667,0.54705423
17.411617,55.86979424,24.15159275,7.598319218,3.0755615,,,
8.027895,56.00121818,24.55679934,7.41813732,0.27700853,,8137.5,
17.436497,56.90022088,23.47394479,7.501579423,3.079729,,,
18.17116,56.45815735,23.32897336,6.819050208,3.5256786,,,
16.375874,57.05551206,23.97952474,7.487740756,2.9545841,,4653.6724,
13.65518,57.30137355,23.22814686,7.379370635,1.82407,0.07390064,4102,0.53825176
15.944126,56.47921893,24.22373642,6.527650944,2.9405813,,4591.3003,
17.169415,58.51140891,23.58347844,7.285336442,3.1668892,,,
16.498743,58.59372879,23.63651913,7.617854403,2.951334,,4011.2275,
16.413292,57.36104366,22.84835907,7.261771245,2.9132442,,3747.655,
19.753675,57.59174822,23.9249322,7.873050459,2.7865963,,,
17.175806,56.25512359,25.35143434,7.22604389,3.0965986,,,
14.52739,57.25428493,22.98021823,7.312668303,2.2232208,,3900.95,
12.0192995,57.91374714,24.5487025,7.424763159,1.2379265,0.23373179,4969.76,0.65213984
12.879779,56.66214031,24.52011396,7.381538623,1.5260181,0.12965193,4388.3965,0.62291735
14.631091,56.52724045,23.83881582,7.141983015,2.2570276,,3704.0725,
15.81069,55.89232992,25.5904009,7.64942509,2.824771,,3756.4265,
17.58388,56.79601142,24.23081704,7.2153447,2.995018,,,
9.518376,57.57372858,25.37937008,7.253398036,0.6871643,2.1705432,6155.233,1.2955312
14.777889,56.80701894,23.83129983,7.30477837,2.6395903,,3970.5432,
17.335684,55.63011068,24.82248656,7.571918358,3.2047882,,,
16.727879,57.34143536,24.91187564,7.257216033,2.9505892,,4619.04,
11.464658,57.40235227,24.29586591,7.365001264,1.0798855,0.38558927,5097.78,0.79607314
18.973743,56.63354338,24.4760548,7.074354082,2.5695744,,,
17.088533,56.64813404,24.0263384,7.584104133,3.155075,,,
15.295293,55.51202748,24.20990524,7.338324469,2.5277958,0.029161366,3316,0.51740134
11.430553,56.81177407,25.37163241,7.572139959,1.0980988,0.37428892,5128.575,0.77493036
19.640127,56.4790625,23.56595225,7.158615974,2.8379936,,,
9.921573,57.98702364,23.90175912,7.487040599,0.7607107,1.4220649,5844.975,1.1629125
14.332925,56.42378253,25.68658301,6.320027688,2.3154926,,4065.7,
16.119404,55.78162604,25.57460505,7.440523386,2.8662472,,3831.7476,
12.425606,55.38534152,23.1615262,7.422707338,1.3778067,0.16423419,4882.5,0.5663696
11.108135,57.35030754,23.83904871,7.376478665,0.9989805,0.51951206,5259,0.86824864
9.428313,57.47057104,25.64725279,7.189164419,0.7216625,2.411576,6007.9336,1.433352
16.442446,57.06355566,23.43469189,7.328238806,2.7882109,,3904.36,
12.34341,57.97253656,24.38676805,7.181640268,1.3410549,0.18496746,4979,0.57798433
16.492466,56.04489754,25.6271555,7.156876988,3.0277805,,4139.71,
13.925313,55.94994539,25.05301203,7.441610093,1.9315166,0.06337387,3925.6868,0.5442225
17.59423,55.34359577,24.39755485,7.418669535,3.3571548,,,
17.785429,55.4541049,23.05639233,6.930944649,3.426508,,,
17.911718,58.17592733,25.17824903,7.742319213,3.3531475,,,
12.6328,56.01188718,25.65615557,7.245450726,1.4818211,0.16444397,4450,0.6822469
16.289757,55.60961449,24.23535656,7.39621463,2.8769827,,3915.08,
11.258368,56.10957605,24.589507,7.406551315,1.0840569,0.47768146,4930.685,0.947125
16.425869,56.07949719,24.5882642,7.385492549,2.8660364,,3770.14,
